sales_id,lastSalePrice,lastSaleDate
167,0.0,2019-02-20T00:00:00.000Z
168,515000.0,2017-02-03T00:00:00.000Z
169,287000.0,2007-08-02T00:00:00.000Z
170,475000.0,2019-05-13T00:00:00.000Z
171,320000.0,1982-05-01T00:00:00.000Z
172,625500.0,2019-03-07T00:00:00.000Z
173,408250.0,2013-08-13T00:00:00.000Z
174,225000.0,2019-11-25T00:00:00.000Z
175,199900.0,2003-10-01T00:00:00.000Z
176,443400.0,2019-03-11T00:00:00.000Z
177,167000.0,2002-12-12T00:00:00.000Z
178,42000.0,2006-03-24T00:00:00.000Z
179,26500.0,2006-01-03T00:00:00.000Z
180,47300.0,2024-03-15T00:00:00.000Z
181,577000.0,2014-08-19T00:00:00.000Z
182,255528.0,2015-10-29T00:00:00.000Z
183,0.0,2022-04-29T00:00:00.000Z
184,354250.0,2002-05-17T00:00:00.000Z
185,157000.0,2018-08-01T00:00:00.000Z
186,275000.0,2017-09-12T00:00:00.000Z
187,503000.0,2021-08-20T00:00:00.000Z
188,0.0,2021-12-06T00:00:00.000Z
189,95000.0,2021-01-08T00:00:00.000Z
190,168500.0,2010-06-17T00:00:00.000Z
191,28000.0,2017-10-10T00:00:00.000Z
192,122000.0,2002-05-31T00:00:00.000Z
193,535000.0,2005-10-27T00:00:00.000Z
194,215000.0,2015-05-22T00:00:00.000Z
195,149000.0,2010-07-01T00:00:00.000Z
196,70000.0,2023-01-03T00:00:00.000Z
197,256900.0,1993-12-17T00:00:00.000Z
198,173000.0,2011-10-28T00:00:00.000Z
199,400000.0,2023-08-23T00:00:00.000Z
200,0.0,2019-07-31T00:00:00.000Z
201,471000.0,2021-07-08T00:00:00.000Z
202,91300.0,1992-12-17T00:00:00.000Z
203,0.0,2016-05-31T00:00:00.000Z
204,23000.0,2022-01-03T00:00:00.000Z
205,20025.0,2020-03-13T00:00:00.000Z
206,725000.0,2009-07-21T00:00:00.000Z
207,539000.0,2004-12-23T00:00:00.000Z
208,0.0,2019-12-26T00:00:00.000Z
209,160000.0,2023-10-23T00:00:00.000Z
210,541000.0,2020-08-07T00:00:00.000Z
211,807000.0,2020-08-04T00:00:00.000Z
212,305000.0,1999-12-23T00:00:00.000Z
213,145000.0,2009-09-23T00:00:00.000Z
214,222500.0,2020-12-24T00:00:00.000Z
215,0.0,2017-11-03T00:00:00.000Z
216,250533.0,2015-08-27T00:00:00.000Z
217,155000.0,1989-02-16T00:00:00.000Z
218,129500.0,2019-12-11T00:00:00.000Z
219,69800.0,2000-11-14T00:00:00.000Z
220,730000.0,2021-07-19T00:00:00.000Z
221,950000.0,2015-09-22T00:00:00.000Z
222,994540.0,1997-11-10T00:00:00.000Z
223,77500.0,2022-01-27T00:00:00.000Z
224,35000.0,1998-10-27T00:00:00.000Z
225,273000.0,2007-10-19T00:00:00.000Z
226,125000.0,2010-04-09T00:00:00.000Z
227,405500.0,2011-04-25T00:00:00.000Z
228,0.0,2010-03-15T00:00:00.000Z
229,0.0,2021-09-30T00:00:00.000Z
230,475000.0,2022-12-01T00:00:00.000Z
231,562500.0,2006-11-16T00:00:00.000Z
232,281000.0,2021-04-29T00:00:00.000Z
233,75900.0,2021-05-04T00:00:00.000Z
234,0.0,2002-08-07T00:00:00.000Z
235,0.0,1986-08-15T00:00:00.000Z
236,120000.0,2017-07-18T00:00:00.000Z
237,0.0,2018-06-08T00:00:00.000Z
238,38000.0,1988-06-01T00:00:00.000Z
239,415000.0,2022-09-30T00:00:00.000Z
240,415000.0,2024-06-18T00:00:00.000Z
241,0.0,2014-05-30T00:00:00.000Z
242,165000.0,1994-11-17T00:00:00.000Z
243,0.0,2023-09-26T00:00:00.000Z
244,0.0,2014-07-23T00:00:00.000Z
245,486500.0,2023-07-26T00:00:00.000Z
246,255000.0,2014-09-10T00:00:00.000Z
247,437000.0,2017-09-05T00:00:00.000Z
248,0.0,2022-08-15T00:00:00.000Z
249,693700.0,2017-04-20T00:00:00.000Z
250,510000.0,2012-12-31T00:00:00.000Z
251,108350.0,2006-10-13T00:00:00.000Z
252,23000.0,1984-01-24T00:00:00.000Z
253,0.0,2017-12-04T00:00:00.000Z
254,268288.0,2017-06-16T00:00:00.000Z
255,463000.0,2023-09-15T00:00:00.000Z
256,317000.0,2008-10-07T00:00:00.000Z
257,500000.0,2018-05-07T00:00:00.000Z
258,355000.0,1999-12-27T00:00:00.000Z
259,146600.0,1995-07-20T00:00:00.000Z
260,0.0,2014-05-20T00:00:00.000Z
261,8000.0,2016-04-26T00:00:00.000Z
262,55000.0,2020-08-05T00:00:00.000Z
263,460000.0,2006-12-13T00:00:00.000Z
264,160000.0,2021-05-05T00:00:00.000Z
265,117200.0,1996-09-09T00:00:00.000Z
266,59000.0,2005-02-11T00:00:00.000Z
267,69900.0,2011-01-20T00:00:00.000Z
268,74300.0,2016-04-19T00:00:00.000Z
269,29500.0,2023-05-05T00:00:00.000Z
270,29000.0,2019-07-01T00:00:00.000Z
271,420000.0,2022-01-31T00:00:00.000Z
272,0.0,2001-08-31T00:00:00.000Z
273,67000.0,1991-06-01T00:00:00.000Z
274,54000.0,2019-07-09T00:00:00.000Z
275,0.0,2020-08-18T00:00:00.000Z
276,414000.0,2007-05-16T00:00:00.000Z
277,45000.0,2011-03-04T00:00:00.000Z
278,460000.0,2022-05-17T00:00:00.000Z
279,162500.0,2019-08-27T00:00:00.000Z
280,39000.0,1986-09-25T00:00:00.000Z
281,236000.0,2018-01-20T00:00:00.000Z
282,0.0,2024-02-20T00:00:00.000Z
283,355000.0,2014-07-21T00:00:00.000Z
284,0.0,2022-08-10T00:00:00.000Z
285,336500.0,2022-08-18T00:00:00.000Z
286,55000.0,2011-06-15T00:00:00.000Z
287,122250.0,2005-10-05T00:00:00.000Z
288,91000.0,1998-02-27T00:00:00.000Z
289,250000.0,2016-01-26T00:00:00.000Z
290,620000.0,2019-01-04T00:00:00.000Z
291,1142000.0,2014-05-13T00:00:00.000Z
292,535000.0,2023-12-27T00:00:00.000Z
293,225000.0,2017-11-28T00:00:00.000Z
294,305000.0,2018-12-05T00:00:00.000Z
295,60000.0,2022-08-19T00:00:00.000Z
296,40000.0,2005-08-22T00:00:00.000Z
297,437000.0,2022-09-16T00:00:00.000Z
298,249999.0,2022-06-14T00:00:00.000Z
299,153000.0,2013-11-15T00:00:00.000Z
300,279950.0,2015-06-08T00:00:00.000Z
301,99000.0,1999-11-23T00:00:00.000Z
302,240000.0,2021-05-20T00:00:00.000Z
303,120000.0,1997-09-05T00:00:00.000Z
304,245000.0,2010-07-20T00:00:00.000Z
305,1569000.0,2014-07-11T00:00:00.000Z
306,575000.0,2023-06-09T00:00:00.000Z
307,3500.0,1986-05-22T00:00:00.000Z
308,0.0,2008-04-30T00:00:00.000Z
309,0.0,2018-10-26T00:00:00.000Z
