features_id,features,propertyType,zoning
43,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",Single Family,Unknown
44,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Stucco"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 4, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Concrete Tile"", ""roomCount"": 11, ""unitCount"": 1}",Single Family,R HS DF
45,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,R2 R3
46,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick Veneer"", ""fireplace"": true, ""fireplaceType"": ""2 Story"", ""floorCount"": 2, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,Unknown
47,NaN,Land,Unknown
48,"{""floorCount"": 3, ""garage"": true, ""garageSpaces"": 1}",Townhouse,Unknown
49,"{""floorCount"": 2, ""roomCount"": 8}",Single Family,Unknown
50,"{""architectureType"": ""Ranch"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Other"", ""fireplace"": true, ""floorCount"": 1, ""foundationType"": ""OTHER"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
51,"{""architectureType"": ""Ranch"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Baseboard"", ""roofType"": ""Asphalt"", ""unitCount"": 1}",Single Family,PRC
52,"{""architectureType"": ""Colonial"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""heating"": true, ""heatingType"": ""Central"", ""roomCount"": 7, ""unitCount"": 1}",Single Family,Unknown
53,"{""architectureType"": ""Traditional"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 8, ""unitCount"": 1}",Single Family,01 - NOT ZONED
54,"{""architectureType"": ""Contemporary"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Asbestos Shingle"", ""floorCount"": 1, ""foundationType"": ""Slab / Mat / Raft"", ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 5, ""unitCount"": 1}",Single Family,Unknown
55,"{""architectureType"": ""Other"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Basement"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roomCount"": 4, ""unitCount"": 1, ""roofType"": ""Asphalt""}",Condo,R-15
56,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 2, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Attached"", ""heating"": true, ""heatingType"": ""Central"", ""pool"": true, ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",Single Family,PD-MU
57,"{""architectureType"": ""Ranch"", ""garage"": true, ""garageType"": ""Garage""}",Single Family,Unknown
58,"{""architectureType"": ""Conventional"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Brick"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Central"", ""roofType"": ""Composition Shingle""}",Single Family,R5-RESIDENTIAL SINGLE FAM
59,"{""heating"": true, ""heatingType"": ""Electric""}",Condo,Unknown
